waxed
stuck a go pro to
trimmed
boiled
mowed
dried
painted
glued googly eyes to
unhinged
stole
made sweet love to
ate
stepped on
opened
sealed
alienated
cracked
oiled
stitched shut
wiped
clubbed
recorded
played music to
drank
scrubbed
chilled
froze
read
smuggled
sprayed NeverWet on
duct taped
