orphans
skateboard
alcholism
“emergency underpants”
nocturnal emission
cat
uncomfortable silence
red rocket
grandmas' ashes
virginity
cuttlery
desk
children
carpet
dirtnap
donor organs
lawnchair
spare change
car keys
Vintage action figures
dirty gym-wear
awkward boner
crippling debt
existential angst
eventual demise
sense of despair
"cold, dark, nothing"
emotional void
embarrassing memories
unknowable evil
dark lord satan
